d----w---x student/student   0 unit1exercise1/gerauchse/gehundse/
d---rw---x student/student   0 unit1exercise1/ensetzse/
d--x-wxr-x student/student   0 unit1exercise1/gerenner/behunder/
d--xrw-r-x student/student   0 unit1exercise1/gerenner/
d-w---x--- student/student   0 unit1exercise1/aufgeschmeckte/
d-w--w-rwx student/student   0 unit1exercise1/gerenner/behunder/angekraut/
d-wx-w--w- student/student   0 unit1exercise1/aufgeschmecktete/gehalts/
dr----x--- student/student   0 unit1exercise1/ausgekaestest/
dr---w---x student/student   0 unit1exercise1/aufgeschmecktete/gehalts/einkatzeheit/
dr---wxr-- student/student   0 unit1exercise1/anlaufen/
dr--r--rw- student/student   0 unit1exercise1/gerenner/beschmecken/
dr--r-x-wx student/student   0 unit1exercise1/aufgeschmecktete/gehalts/zerlaufen/
dr--rw---x student/student   0 unit1exercise1/gerauchse/
dr-x-w--w- student/student   0 unit1exercise1/aufgeschmecktete/
dr-xr----x student/student   0 unit1exercise1/gerauchse/angerennte/angewarfte/
dr-xr---w- student/student   0 unit1exercise1/gerenner/behunder/ansetzen/
drw--w-r-x student/student   0 unit1exercise1/gerauchse/angerennte/
drw-r-x-wx student/student   0 unit1exercise1/gerauchse/angerennte/aufwitzen/
drw-r-xr-x student/student   0 unit1exercise1/gerenner/beschmecken/aufgewarfen/
drwx--x-w- student/student   0 unit1exercise1/auftrautete/
drwxrwxr-x student/student   0 unit1exercise1/
