d------rwx games/cdrom       0 unit1exercise2/anrauchen/
d-----x-w- proxy/floppy      0 unit1exercise2/aufgesinner/
d---r----- proxy/audio       0 unit1exercise2/aufgesinner/getrittse/aufgewarfung/
d--xrw--w- student/uucp      0 unit1exercise2/aufgesinner/auflaufkeit/angetrauer/
d-w----rwx games/floppy      0 unit1exercise2/angetrause/
d-w--w-rw- student/student   0 unit1exercise2/anrauchen/einlaufung/verrennse/
d-w-rw-r-- student/dip       0 unit1exercise2/anrauchen/einlaufung/aufgeklettte/
d-wxrw---- news/uucp         0 unit1exercise2/angerabarbst/
d-wxrw-rwx student/news      0 unit1exercise2/anrauchen/einlaufung/angesprachst/
dr-----r-x uucp/fax          0 unit1exercise2/anrauchen/einlaufung/enrauchtete/
dr--r--rwx news/news         0 unit1exercise2/aufgesinner/auflaufkeit/
dr-x---rw- uucp/mail         0 unit1exercise2/auflaufst/
drw------- lp/tape           0 unit1exercise2/aufgesinner/getrittse/
drw---xr-x news/cdrom        0 unit1exercise2/anrauchen/einlaufung/
drw--w--w- student/uucp      0 unit1exercise2/angetrause/betrittte/
drw-rw-rwx proxy/news        0 unit1exercise2/anrauchen/einlaufung/besetzse/
drw-rwx-wx proxy/voice       0 unit1exercise2/besinntest/
drw-rwxr-- games/voice       0 unit1exercise2/angefahren/aufgefahrtest/
drwx-wxrwx news/news         0 unit1exercise2/vertrittheit/
drwxr---wx proxy/dip         0 unit1exercise2/angefahren/
drwxrwxr-x student/student   0 unit1exercise2/
