d----wxrwx student/mail      0 unit1exercise4/aufsinnst/aufgelaufung/
d---r--r-x student/audio     0 unit1exercise4/angegehtete/
d---r-s--x student/mail      0 unit1exercise4/ankletter/gewarfen/einkrautest/
d--x-wS--- student/voice     0 unit1exercise4/aufsinnst/aufgelaufung/zerkrauung/
d--xr--rw- student/cdrom     0 unit1exercise4/aufgetrittheit/verkaestest/ankaeskeit/
d--xr-Sr-x student/tape      0 unit1exercise4/aufgetrittheit/anschmeckheit/
d-w--w--w- student/dip       0 unit1exercise4/gesetzkeit/
d-w-r----- student/floppy    0 unit1exercise4/zerrennkeit/
d-w-r-xrwx student/floppy    0 unit1exercise4/ensitztete/
d-wxr----x student/dip       0 unit1exercise4/aufsinnst/
d-wxrw-r-x student/proxy     0 unit1exercise4/aufgetrittheit/
d-wxrwxr-- student/voice     0 unit1exercise4/aufgetrittheit/geraucht/
dr--r-sr-- student/dip       0 unit1exercise4/ankletter/gewarfen/verhalts/
dr--rwSr-x student/student   0 unit1exercise4/aufgetrittheit/verkaestest/gelaufte/
dr--rwx--- student/news      0 unit1exercise4/aufgetrittheit/verkaestest/einrennse/
dr-x-wx-w- student/mail      0 unit1exercise4/ankletter/
drw-r-Srwx student/audio     0 unit1exercise4/aufgetrittheit/verkaestest/zerhunds/
drwx-wS--x student/proxy     0 unit1exercise4/ankletter/gewarfen/
drwxr----x student/uucp      0 unit1exercise4/aufgetrittheit/verkaestest/
drwxrws--- student/uucp      0 unit1exercise4/berennt/
drwxrwxr-x student/student   0 unit1exercise4/
